trip_id,starttime,stoptime,bikeid,left(bikeid,right bikeid,tripduration,from_station_name,to_station_name,from_station_id,to_station_id,usertype,gender,birthyear
104440,7/7/15 18:18,7/7/15 20:52,SEA00384,SEA,00384,9208.524,Eastlake Ave E & E Allison St,Eastlake Ave E & E Allison St,EL-05,EL-05,Short-Term Pass Holder,NULL,NULL
48695,3/20/15 8:49,3/20/15 9:03,SEA00336,SEA,00336,842.405,2nd Ave & Pine St,Dexter Ave N & Aloha St,CBD-13,SLU-02,Annual Member,Male,1975
41846,2/28/15 15:31,2/28/15 15:45,SEA00449,SEA,00449,846.174,2nd Ave & Pine St,Occidental Park / Occidental Ave S & S Washington St,CBD-13,PS-04,Short-Term Pass Holder,NULL,NULL
62011,4/20/15 23:53,4/21/15 0:00,SEA00375,SEA,00375,446.055,7th Ave & Union St,2nd Ave & Blanchard St,CBD-03,BT-05,Short-Term Pass Holder,NULL,NULL
26137,1/6/15 19:01,1/6/15 19:07,SEA00318,SEA,00318,394.624,REI / Yale Ave N & John St,REI / Yale Ave N & John St,SLU-01,SLU-01,Annual Member,Male,1987
156380,10/11/15 22:55,10/12/15 0:44,SEA00485,SEA,00485,6521.749,Seattle University / E Columbia St & 12th Ave,3rd Ave & Broad St,FH-04,BT-01,Short-Term Pass Holder,NULL,NULL
131661,8/19/15 16:44,8/19/15 17:06,SEA00059,SEA,00059,1315.264,2nd Ave & Pine St,3rd Ave & Broad St,CBD-13,BT-01,Short-Term Pass Holder,NULL,NULL
55183,4/7/15 10:00,4/7/15 10:08,SEA00479,SEA,00479,487.58,UW Engineering Library / E Stevens Way NE & Jefferson Rd,UW Engineering Library / E Stevens Way NE & Jefferson Rd,UW-06,UW-06,Annual Member,Male,1992
108610,7/14/15 8:23,7/14/15 8:29,SEA00191,SEA,00191,344.656,Summit Ave E & E Republican St,Pine St & 9th Ave,CH-03,SLU-16,Annual Member,Male,1981
1297,10/14/14 16:54,10/14/14 17:09,SEA00428,SEA,00428,909.182,Frye Art Museum / Terry Ave & Columbia St,Seattle University / E Columbia St & 12th Ave,FH-01,FH-04,Short-Term Pass Holder,NULL,NULL
53534,4/2/15 18:55,4/2/15 19:03,SEA00305,SEA,00305,458.799,Republican St & Westlake Ave N,E Blaine St & Fairview Ave E,SLU-04,EL-03,Annual Member,Male,1988
7498,10/29/14 19:26,10/29/14 19:31,SEA00457,SEA,00457,321.81,15th Ave E & E Thomas St,Summit Ave E & E Republican St,CH-05,CH-03,Annual Member,Male,1981
119926,7/31/15 18:08,7/31/15 18:29,SEA00068,SEA,00068,1261.013,3rd Ave & Broad St,Pier 69 / Alaskan Way & Clay St,BT-01,WF-01,Short-Term Pass Holder,NULL,NULL
100210,7/1/15 12:34,7/1/15 12:47,SEA00153,SEA,00153,756.631,E Blaine St & Fairview Ave E,PATH / 9th Ave & Westlake Ave,EL-03,SLU-07,Annual Member,Female,1961
47902,3/18/15 8:19,3/18/15 8:28,SEA00172,SEA,00172,558.786,Pier 69 / Alaskan Way & Clay St,1st Ave & Marion St,WF-01,CBD-05,Annual Member,Other,1957
153422,10/4/15 8:58,10/4/15 9:17,SEA00267,SEA,00267,1119.829,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,WF-04,WF-04,Short-Term Pass Holder,NULL,NULL
97398,6/26/15 8:52,6/26/15 8:59,SEA00057,SEA,00057,414.748,Dexter Ave N & Aloha St,PATH / 9th Ave & Westlake Ave,SLU-02,SLU-07,Annual Member,Male,1985
74814,5/17/15 15:27,5/17/15 15:34,SEA00040,SEA,00040,370.356,12th Ave & E Denny Way,Pine St & 9th Ave,CH-06,SLU-16,Annual Member,Male,1987
29299,1/19/15 11:40,1/19/15 11:44,SEA00262,SEA,00262,232.597,E Harrison St & Broadway Ave E,Harvard Ave & E Pine St,CH-02,CH-09,Annual Member,Male,1989
89396,6/12/15 17:32,6/12/15 17:36,SEA00170,SEA,00170,189.055,9th Ave N & Mercer St,Dexter Ave N & Aloha St,DPD-01,SLU-02,Annual Member,Male,1971
133233,8/22/15 11:29,8/22/15 12:21,SEA00316,SEA,00316,3129.238,Cal Anderson Park / 11th Ave & Pine St,Cal Anderson Park / 11th Ave & Pine St,CH-08,CH-08,Short-Term Pass Holder,NULL,NULL
137054,8/29/15 8:21,8/29/15 8:33,SEA00148,SEA,00148,717.266,1st Ave & Marion St,Bellevue Ave & E Pine St,CBD-05,CH-12,Annual Member,Male,1965
18920,12/3/14 21:49,12/3/14 21:54,SEA00206,SEA,00206,302.229,Frye Art Museum / Terry Ave & Columbia St,2nd Ave & Spring St,FH-01,CBD-06,Annual Member,Male,1993
